N,Bubble,Quick,Insert
1,0.000000,0.001000,0.000000
2,0.000000,0.001000,0.000000
3,0.000000,0.001000,0.001000
4,0.000000,0.001000,0.001000
5,0.001000,0.001000,0.000000
6,0.001000,0.000000,0.001000
7,0.001000,0.001000,0.000000
8,0.001000,0.002000,0.001000
9,0.001000,0.001000,0.001000
10,0.001000,0.001000,0.001000
11,0.002000,0.001000,0.000000
12,0.002000,0.001000,0.001000
13,0.001000,0.002000,0.001000
14,0.002000,0.002000,0.001000
15,0.003000,0.001000,0.002000
16,0.002000,0.002000,0.002000
17,0.004000,0.002000,0.002000
18,0.004000,0.002000,0.001000
19,0.003000,0.003000,0.001000
20,0.004000,0.002000,0.002000
21,0.004000,0.003000,0.002000
22,0.005000,0.002000,0.002000
23,0.005000,0.003000,0.002000
24,0.005000,0.003000,0.002000
25,0.006000,0.003000,0.002000
26,0.006000,0.003000,0.003000
27,0.006000,0.003000,0.002000
28,0.006000,0.004000,0.002000
29,0.006000,0.004000,0.003000
30,0.008000,0.004000,0.002000
31,0.008000,0.004000,0.003000
32,0.008000,0.004000,0.003000
33,0.009000,0.004000,0.003000
34,0.010000,0.004000,0.003000
35,0.010000,0.004000,0.003000
36,0.009000,0.004000,0.003000
37,0.011000,0.004000,0.003000
38,0.011000,0.004000,0.002000
39,0.012000,0.004000,0.003000
40,0.010000,0.005000,0.003000
41,0.012000,0.004000,0.003000
42,0.014000,0.004000,0.003000
43,0.015000,0.004000,0.003000
44,0.015000,0.004000,0.003000
45,0.013000,0.003000,0.003000
46,0.013000,0.004000,0.004000
47,0.014000,0.004000,0.003000
48,0.014000,0.004000,0.003000
49,0.015000,0.004000,0.004000
50,0.017000,0.005000,0.004000
51,0.016000,0.004000,0.003000
52,0.016000,0.004000,0.003000
53,0.017000,0.005000,0.004000
54,0.017000,0.004000,0.004000
55,0.018000,0.004000,0.004000
56,0.014000,0.005000,0.004000
57,0.027000,0.005000,0.004000
58,0.016000,0.004000,0.005000
59,0.016000,0.004000,0.005000
60,0.017000,0.005000,0.005000
61,0.018000,0.005000,0.005000
62,0.018000,0.005000,0.005000
63,0.018000,0.005000,0.005000
64,0.020000,0.005000,0.005000
65,0.020000,0.005000,0.006000
66,0.020000,0.005000,0.005000
67,0.022000,0.005000,0.006000
68,0.020000,0.005000,0.007000
69,0.022000,0.005000,0.006000
70,0.023000,0.006000,0.007000
71,0.021000,0.006000,0.006000
72,0.022000,0.005000,0.007000
73,0.025000,0.006000,0.007000
74,0.025000,0.006000,0.006000
75,0.025000,0.006000,0.007000
76,0.026000,0.006000,0.007000
77,0.026000,0.007000,0.007000
78,0.026000,0.006000,0.007000
79,0.026000,0.006000,0.007000
80,0.028000,0.006000,0.007000
81,0.029000,0.007000,0.008000
82,0.031000,0.007000,0.008000
83,0.032000,0.007000,0.009000
84,0.030000,0.007000,0.008000
85,0.030000,0.007000,0.008000
86,0.033000,0.007000,0.009000
87,0.034000,0.007000,0.009000
88,0.035000,0.007000,0.009000
89,0.036000,0.008000,0.010000
90,0.035000,0.008000,0.010000
91,0.036000,0.008000,0.012000
92,0.039000,0.008000,0.009000
93,0.038000,0.008000,0.010000
94,0.037000,0.008000,0.011000
95,0.040000,0.008000,0.011000
96,0.040000,0.008000,0.010000
97,0.041000,0.008000,0.011000
98,0.043000,0.008000,0.012000
99,0.042000,0.008000,0.011000
100,0.044000,0.008000,0.013000
101,0.043000,0.008000,0.011000
102,0.045000,0.009000,0.014000
103,0.047000,0.009000,0.013000
104,0.047000,0.008000,0.014000
