N,Bubble,qsort
1,0.000000,0.000000
2,0.000000,0.001000
3,0.000000,0.000000
4,0.000000,0.000000
5,0.001000,0.000000
6,0.000000,0.001000
7,0.001000,0.000000
8,0.001000,0.000000
9,0.001000,0.001000
10,0.002000,0.001000
11,0.001000,0.001000
12,0.001000,0.001000
13,0.001000,0.001000
14,0.001000,0.001000
15,0.001000,0.001000
16,0.002000,0.001000
17,0.001000,0.001000
18,0.002000,0.002000
19,0.003000,0.001000
20,0.004000,0.002000
21,0.004000,0.002000
22,0.004000,0.002000
23,0.004000,0.002000
24,0.005000,0.002000
25,0.004000,0.002000
26,0.005000,0.002000
27,0.005000,0.002000
28,0.006000,0.002000
29,0.006000,0.002000
30,0.006000,0.002000
31,0.007000,0.003000
32,0.006000,0.003000
33,0.007000,0.002000
34,0.006000,0.003000
35,0.007000,0.003000
36,0.008000,0.003000
37,0.008000,0.003000
38,0.008000,0.003000
39,0.009000,0.003000
40,0.009000,0.003000
41,0.009000,0.003000
42,0.010000,0.004000
43,0.009000,0.004000
44,0.011000,0.003000
45,0.020000,0.003000
46,0.011000,0.003000
47,0.011000,0.004000
48,0.012000,0.003000
49,0.012000,0.004000
50,0.012000,0.004000
51,0.014000,0.004000
52,0.013000,0.004000
53,0.027000,0.005000
54,0.015000,0.004000
55,0.015000,0.004000
56,0.014000,0.005000
57,0.016000,0.005000
58,0.016000,0.005000
59,0.017000,0.004000
60,0.017000,0.005000
61,0.018000,0.005000
62,0.018000,0.005000
63,0.019000,0.005000
64,0.019000,0.005000
65,0.021000,0.005000
66,0.020000,0.005000
67,0.021000,0.005000
68,0.022000,0.005000
69,0.022000,0.005000
70,0.022000,0.006000
71,0.023000,0.006000
72,0.024000,0.006000
73,0.024000,0.006000
74,0.025000,0.005000
75,0.026000,0.006000
76,0.027000,0.006000
77,0.027000,0.006000
78,0.028000,0.006000
79,0.026000,0.007000
80,0.028000,0.007000
81,0.029000,0.006000
82,0.029000,0.007000
83,0.031000,0.007000
84,0.031000,0.007000
85,0.032000,0.007000
86,0.034000,0.007000
87,0.034000,0.007000
88,0.033000,0.007000
89,0.036000,0.007000
90,0.035000,0.007000
91,0.036000,0.008000
92,0.036000,0.008000
93,0.037000,0.007000
94,0.040000,0.007000
95,0.038000,0.008000
96,0.038000,0.007000
97,0.042000,0.008000
98,0.040000,0.007000
99,0.041000,0.008000
100,0.042000,0.008000
101,0.043000,0.009000
102,0.044000,0.009000
103,0.046000,0.008000
104,0.044000,0.009000
105,0.047000,0.009000
106,0.049000,0.009000
107,0.049000,0.009000
108,0.049000,0.009000
109,0.049000,0.009000
110,0.050000,0.009000
111,0.050000,0.010000
112,0.054000,0.010000
113,0.052000,0.010000
114,0.055000,0.009000
115,0.055000,0.010000
116,0.055000,0.009000
117,0.056000,0.010000
118,0.058000,0.010000
119,0.058000,0.010000
120,0.060000,0.010000
121,0.060000,0.010000
122,0.060000,0.011000
123,0.072000,0.011000
124,0.064000,0.010000
125,0.063000,0.011000
126,0.065000,0.011000
127,0.067000,0.011000
128,0.073000,0.011000
129,0.107000,0.016000
130,0.103000,0.017000
131,0.106000,0.017000
132,0.104000,0.018000
133,0.106000,0.017000
134,0.107000,0.017000
135,0.110000,0.017000
136,0.112000,0.018000
137,0.108000,0.018000
138,0.117000,0.018000
139,0.119000,0.019000
140,0.115000,0.019000
141,0.124000,0.018000
142,0.123000,0.020000
143,0.124000,0.018000
144,0.122000,0.019000
145,0.125000,0.020000
146,0.130000,0.019000
147,0.129000,0.019000
148,0.130000,0.020000
149,0.132000,0.020000
150,0.137000,0.019000
151,0.141000,0.020000
152,0.142000,0.021000
153,0.140000,0.021000
154,0.154000,0.020000
155,0.146000,0.021000
156,0.144000,0.020000
157,0.148000,0.021000
158,0.145000,0.021000
159,0.146000,0.021000
160,0.158000,0.021000
161,0.161000,0.021000
162,0.160000,0.021000
163,0.154000,0.022000
164,0.158000,0.023000
165,0.156000,0.022000
166,0.164000,0.022000
167,0.162000,0.022000
168,0.166000,0.023000
169,0.170000,0.023000
170,0.168000,0.023000
171,0.173000,0.022000
172,0.194000,0.023000
173,0.168000,0.024000
174,0.177000,0.023000
175,0.155000,0.020000
176,0.150000,0.020000
177,0.159000,0.021000
178,0.156000,0.021000
179,0.148000,0.020000
180,0.156000,0.019000
181,0.153000,0.019000
182,0.173000,0.018000
183,0.182000,0.017000
184,0.194000,0.018000
185,0.194000,0.018000
186,0.228000,0.019000
187,0.179000,0.021000
188,0.135000,0.020000
189,0.146000,0.018000
190,0.141000,0.019000
191,0.152000,0.018000
192,0.141000,0.018000
193,0.151000,0.018000
194,0.142000,0.035000
195,0.153000,0.018000
196,0.149000,0.019000
197,0.150000,0.018000
198,0.156000,0.018000
199,0.168000,0.021000
200,0.185000,0.022000
201,0.189000,0.019000
202,0.196000,0.017000
203,0.154000,0.019000
204,0.161000,0.016000
205,0.167000,0.017000
206,0.173000,0.019000
207,0.159000,0.019000
208,0.163000,0.019000
209,0.172000,0.024000
210,0.174000,0.018000
211,0.185000,0.017000
212,0.172000,0.018000
213,0.183000,0.020000
214,0.192000,0.032000
215,0.187000,0.018000
216,0.188000,0.018000
217,0.187000,0.018000
218,0.184000,0.018000
219,0.205000,0.020000
220,0.175000,0.020000
221,0.187000,0.021000
222,0.182000,0.021000
223,0.189000,0.020000
224,0.191000,0.020000
225,0.185000,0.020000
226,0.182000,0.018000
227,0.193000,0.019000
228,0.202000,0.021000
229,0.186000,0.019000
230,0.237000,0.042000
231,0.237000,0.022000
232,0.216000,0.025000
233,0.204000,0.021000
234,0.203000,0.022000
235,0.209000,0.022000
236,0.209000,0.023000
237,0.215000,0.023000
238,0.218000,0.022000
239,0.219000,0.024000
240,0.216000,0.022000
241,0.224000,0.024000
242,0.222000,0.023000
243,0.224000,0.024000
244,0.230000,0.024000
245,0.227000,0.025000
246,0.226000,0.023000
247,0.234000,0.026000
248,0.224000,0.024000
249,0.229000,0.024000
250,0.228000,0.025000
251,0.235000,0.027000
252,0.238000,0.025000
253,0.247000,0.021000
254,0.245000,0.024000
255,0.230000,0.022000
256,0.238000,0.022000
257,0.247000,0.022000
258,0.244000,0.023000
259,0.240000,0.022000
260,0.260000,0.025000
261,0.251000,0.026000
262,0.279000,0.022000
263,0.240000,0.023000
264,0.249000,0.023000
265,0.259000,0.023000
266,0.291000,0.025000
267,0.256000,0.027000
268,0.267000,0.026000
269,0.269000,0.026000
270,0.272000,0.026000
271,0.252000,0.023000
272,0.258000,0.023000
273,0.258000,0.023000
274,0.275000,0.026000
275,0.329000,0.024000
276,0.328000,0.025000
277,0.268000,0.024000
278,0.270000,0.025000
279,0.275000,0.023000
280,0.268000,0.024000
281,0.305000,0.027000
282,0.265000,0.025000
283,0.269000,0.024000
284,0.275000,0.024000
285,0.274000,0.024000
286,0.278000,0.024000
287,0.298000,0.025000
288,0.283000,0.024000
289,0.285000,0.024000
290,0.287000,0.026000
